LocationName,SourceSystemBusinessKey
St. Margaret's Golf & Country Club,271
Luttrellstown Castle Golf & Country Club,272
Seapoint Golf Links,275
Corrstown Golf Club,277
Powerscourt Golf Club - East Course,329
Powerscourt Golf Club - West Course,330
Donabate Golf Club,332
Tulfarris Hotel & Golf Resort,333
West Waterford Golf Club,367
Gold Coast Golf Club,368
Dungarvan Golf Club,369
Mount Wolseley Hotel Spa & Golf Resort,380
Ring of Kerry Golf Club,402
Trump International Golf Links (Doonbeg),417
Westport Golf Club,440
Faithlegg Golf Club,491
Rathsallagh Country Club,493
Thurles Golf Club,681
Carne Golf Links,980
Claremorris Golf Club,982
Athenry Golf Club,985
Castlebar Golf Club,986
Tuam Golf Club,987
Ballinasloe Golf Club,990
Headfort Golf Club - Championship Course,1087
Headfort Golf Club - Old Course,1088
Old Conna Golf Club,1129
Lee Valley Golf & Country Club,1337
Blainroe Golf Club,1452
"Knightsbrook Hotel, Spa & Golf Resort",1545
Maine Valley Golf Club,1733
Arklow Golf Links,1785
Bray Golf Club,1813
Kilrush Golf Club,1827
New Forest Golf Club,1951
St. Anne's Golf Club,2334
Craddockstown Golf Club,2827
Forrest Little Golf Club,3009
Mount Juliet Golf Course,3116
Enniscorthy Golf Club,3203
Blarney Golf Club,3636
Waterford Golf Club,3639
Kenmare Golf Club,3673
Mullingar Golf Club,4027
Carton House Golf Club - Montgomerie Course,4060
Moyvalley Golf Club,4073
Ballybofey and Stranorlar Golf Club,4121
Newcastle West Golf Club,4127
Wicklow Golf Club,4220
Beech Park Golf Club,4221
Roundwood Golf Club,4278
Balcarrick Golf Club,4304
Mount Temple Golf Club,4305
Westmanstown Golf Club,4324
Lucan Golf Club,4339
The Heritage Golf Resort - Ballesteros Course,5809
Silloge Park Golf Club,5829
Rosapenna Hotel & Golf Resort - Sandy Hills Links,5896
Carton House Golf Club - O'Meara Course,5897
Druids Heath Golf Club,5898
Edmondstown Golf Club,6630
Castle Dargan Golf Hotel & Wellness Resort,6703
Concra Wood Golf & Country Club,6821
County Meath Golf Club,7237
Kilcock Golf Club,7975
Rathcore Golf & Country Club,8006
Palmerstown House Estate,8111
Skerries Golf Club,8139
Slieve Russell Golf & Country Club,8150
Black Bush Golf Club,8198
Tramore Golf Club - Old,8223
Tramore Golf Club - Newtown,8269
Letterkenny Golf Club,8543
Bunclody Golf Club,8577
Wexford Golf Club,8578
Castlewarden Golf Club,8583
Mannan Castle Golf Club,8604
Mitchelstown Golf Club,8618
Cill Dara Golf Club,8657
Greystones Golf Club,8728
The Heath Golf Club,8733
Ennis Golf Club,8737
Hollywood Lakes Golf Club,8744
Baltinglass Golf Club,8796
Highfield Golf and Country Club,8831
Moate Golf Club,8846
Carlow Golf Club - Deerpark,8852
Gowran Park Golf Club,8859
Kilkee Golf Club,8904
Glen Mill Golf Club,10187
Bellewstown Golf Club,10203
Raffeen Creek Golf Club,10290
Youghal Golf Club,10333
Bundoran Golf Club,10409
Kilkenny Golf Club,10469
Ballyneety Golf Club,10504
Newlands Golf Club,10662
Bearna Golf & Country Club,10680
Co Tipperary Golf & Country Club (Dundrum House),10708
Clonmel Golf Course,10728
Rathdowney Golf Club,10773
Abbeyleix Golf Club,10824
Kanturk Golf Club,10874
Skibbereen & West Carbery Golf Club,10895
Oughterard Golf Club,10945
Castletroy Golf Club,11008
Fermoy Golf Club,11012
Mountrath Golf Club,11114
Callan Golf Club,11175
Castlecomer Golf Club,11184
Ballina Golf Club,11188
Tipperary Golf Club,11189
Carlow Golf Club - Oakpark,11204
Slade Valley Golf Club,11282
Naas Golf Club,11303
Charleville Golf Club,11308
North West Golf Club,11359
Ballinrobe Golf Club,11423
Athlone Golf Club,11459
Glenlo Abbey Hotel & Golf Resort,11517
Mallow Golf Club,11590
Killeen Golf Club,11635
Nenagh Golf Club,11990
Rossmore Golf Club,12031
Cobh Golf Club,12065
Carrick on Suir Golf Club,12165
Mountbellew Golf Club,12244
Coollattin Golf Club,12245
Boyle Golf Club,12296
Rush Links,12451
Newbridge Golf Club,12462
Macroom Golf Club,12598
Stepaside Golf Club,12599
Clonakilty Golf Club,12695
Loughrea Golf Club,12809
Castlerosse Golf Club,12887
Ballykisteen Golf Club,12988
Portlaoise Golf Club,12991
Borris Golf Club,13009
Portarlington Golf Club,13221
Cruit Island Golf Club,13222
Roscommon Golf Club,13681
Laytown and Bettystown Golf Club,13799
Millicent Golf Club,14189
Strandhill Golf Club,14430
Blessington Lakes Golf Club,14551
Mahon Golf Course,14579
Rathbane Golf Course,14803
Waterford Castle Golf Club,15070
Cahir Park,15437
FootGolf Cork,15471
Balbriggan Golf Club,15590
Rosslare Golf Links,15637
Killarney Golf & Fishing Club - Killeen Course,15654
Shannon Golf Club,15659
Athy Golf Club,15668
Roscrea Golf Club,16057
Killarney Golf & Fishing Club - Mahony's Point,16311
Glasson Hotel & Golf Club,16727
Castlegregory Golf Club,16819
Beaufort Golf Club,17381
Strokestown Golf Club,17453
Crover House Golf Club,17543
Pococke Golf Club,17647
Kilkenny Foot Golf,17648
Castlerea Golf Club,17720
Buttermountain Golf and Leisure Club Ltd,17772
Ballymascanlon Hotel and Golf Resort,18305
Tubbercurry Golf Club,18451
Ross Golf Course,18453
Al Mouj Golf,18944
Gweedore Golf Club,19039
